,keywords,question_text,y_pred
10,"['calculus', 'derivatives', 'derivative trig function', 'differentiation', 'derivative', 'trigonometry']",Let \( f(x) = \displaystyle $f \).  Find the following: $PAR \{$al->print_q\},[]
11,"['calculus', 'economics', 'elasticity']",Suppose that the demand of a certain item is \(x = $a e^{-0.02p}\).               Evaluate the elasticity at $b:   \( E($b) \) = \{ans_rule(10) \} ,"['economics', 'elasticity', 'calculus']"
12,"['multivariable', 'functions', 'level surface']"," Write the level surface \( $c = $surf \) as the graph of a function \( f(x,y). \)  $PAR \(f(x,y) = \) \{ ans_rule(55) \} ","['level curve', 'trace', 'multivariable']"
13,"['calculus', 'comparison test', 'series', 'converge', 'infinite series', 'limit', 'convergence', 'integral test']","\{ beginproblem() \} \{ textbook_ref_exact(""Rogawski ET 2e"", ""10.3"",""10"") \} $PAR Use the Integral Test to determine whether the infinite series is convergent. \[ \sum_{n=$start}^{\infty} $func \] Fill in the corresponding integrand and the value of the improper integral.    Enter $BBOLD inf $EBOLD for \(\infty\), $BBOLD -inf $EBOLD for \(-\infty\), and $BBOLD DNE $EBOLD if the limit does not exist. $PAR Compare with  \(\int_{$start}^{\infty} \) \{ ans_rule() \} \(dx\) = \{ ans_rule() \} $PAR By the Integral Test,  \{ $mc->print_q; \} \{ $mc->print_a; \} $PAR","['series', 'converge', 'infinite series', 'calculus', 'integral test', 'comparison test', 'convergence', 'limit']"
14,['bin packing']," The list \{join"", "",@list\} is to be packed in bins of size $binsize using  the first-fit algorithm. For each value of the list determine the corresponding  bin number. Enter the bin number in the box directly below the  list value. $PAR \{ begintable( $size ) \} \{ row( @row1 ) \} \{ row( @row2 ) \} \{ endtable() \}       ",['bin packing']
15,['vector field'],Match each vector field with its graph.  \{ $ml->print_q \} $PAR $BCENTER \{ $ml->print_a \}  (Click on a graph to enlarge it) $ECENTER,['vector field']
16,"['limits', 'sequences']","$showPartialCorrectAnswers=1;  TEXT(qq! Enter the integer which is the apparent limit of the following sequences or enter $BITALIC N $EITALIC if the sequence does not appear to have a limit.  ! ); $limit1=random(1,9,1); $limit2=$limit1-1; $limit3=random(0,4,1); $limit4=random(1,9,1); $limit5=random(1,9,1); $limit6=random(1,9,1); $limit7=random(1,9,1); $limit8=random(1,6,1); $fixit = 0; $fixit = 1 if $limit3 ==0;   # adjust for the fact that x^0 is always 1 $ans1 = $limit1; $ans2=1; $ans3=$limit4+$fixit; $ans4=$limit5+$fixit; $ans5=""N""; if ($limit3 ==0) {$ans6= ""N"";} else {$ans6=$limit7;} $ans7=2; $ans8=$limit8; # Enter the questions and corresponding answers @questStr=(); @ansStr=(); qa (~~@questStr,~~@ansStr, "" $limit1.234, $limit2.98,$limit1.123,  $limit1.034, $limit2.99, $limit1.001, $limit2.999 ..."", 	""$ans1"", ""\(\sqrt{3}, \sqrt{\sqrt{3}}, \sqrt{\sqrt{\sqrt{3}}}, ...\)"", 	""$ans2"", ""the sequence generated by $f(h)$ where $h$ is a sequence of positive numbers approaching zero and ${BM}f(x)=x^$limit3+$limit4${EM} if x is greater than or equal to 0 and \( f(x)=-x^$limit3+$limit4 \) if x is less than zero."", 	""$ans3"", ""the sequence generated by ${BM}f(h)${EM} where  ${BM}h${EM} is a sequence  of negative numbers approaching zero and ${BM}f(x)=x^$limit3+$limit5${EM}   if ${BM}x${EM} is greater than or equal to 0 and ${BM}f(x)=-x^$limit3-$limit5${EM}    if ${BM}x${EM} is less than zero."", 	""-$ans4"", ""the sequence generated by ${BM}f(h)${EM} where  ${BM}h${EM}  is any sequence of numbers approaching zero and ${BM}f(x)=x^$limit3+$limit6${EM}   if ${BM}x${EM} is greater than 0 and ${BM}f(x)=-x^$limit3-$limit6${EM}   if ${BM}x${EM} is less than zero."", 	""$ans5"", ""the sequence generated by ${BM}f(h)${EM} where ${BM}h${EM}  is any sequence of numbers approaching zero and ${BM}f(x)=x^$limit3+$limit7${EM}   if ${BM}x${EM} is greater than or equal to 0 and ${BM}f(x)=-x^$limit3+$limit7${EM}    if ${BM}x${EM} is less than zero."", 	""$ans6"", "" 2.199505sin(1.8), 2.199505sin(2.199505sin(1.8)),        2.199505sin(2.199505sin(2.199505sin(1.8))),  ..."", 	""$ans7"", ""the sequence generated by ${BM}f(h)${EM} where ${BM}h${EM} is a sequence of positive  numbers approaching zero and ${BM}f(x)=$limit8\tan(x)/x${EM}."", 	""$ans8"", ); @slice = &NchooseK(8,4);  TEXT( match_questions_list(@questStr[@slice]), ); ","['factoring', 'limits', 'sequences']"
17,"['differentiation', 'marginal', 'profit', 'economics']",The total profit (in dollars) from the sale of \(x\) answering machines is \[ P(x) = $a x - $b x^2 - $c. \]  (A) Find the exact profit from the sale of the 26th machine.  Exact Profit on 26th machine = \{ans_rule(30) \}  EOT  $ans = ($a*26 - $b*((26)**2) - $c) - ($a*25 - $b*((25)**2) - $c); ANS(num_cmp($ans));  TEXT(EV2(<<EOT)); (B) Use the marginal profit to approximate the profit from the sale of the 26th machine.  Approx. profit on 26th machine = \{ans_rule(30) \} ,"['economics', 'differentiation', 'marginal']"
18,['algebra'],"The distance between \($b\) and \($a\) is \{ans_rule(10) \}. EOT  $ans = abs($a-$b); ANS(num_cmp($ans, mode=>""arith""));   TEXT(EV3(<<'EOT'));  Hint: The distance between two real numbers is the absolute value of their difference.",['absolute value']
19,"['financial mathematics', 'options']"," Suppose that you sell for $p dollars a put option with a strike price of $s dollars.  If the stock price on the exercise date is $st dollars, what is your profit?    Answer = \{ &ans_rule(30) \} dollars.  ",[]
20,"['differentiation', 'product', 'quotient']",Let \(y=\displaystyle \frac{$a}{x+$b}\).  Find the slope of the tangent line for each value of \(x\).    \(x=a\):  \{ans_rule(20)\}  \(x=$c\):  \{ans_rule(20)\}  \(x=$d\):  \{ans_rule(20)\}  \(x=$e\):  \{ans_rule(20)\} ,"['product', 'differentiation', 'quotient', 'calculus', 'antiderivatives']"
21,['trig'],"Simplify the expression as much as possible. $PAR \( \displaystyle \frac{ \sin(2x) }{ \cos(x) } \) = \{ ans_rule(20) \} \{ AnswerFormatHelp(""formulas"") \}",[]
22,"['multiple integral', 'estimate']","Consider the solid that lies above the square (in the xy-plane) \( R = [0, 2] \times [0, 2] \),  and below the elliptic paraboloid  \( z = $d - x^{2} - $b_y2 \). $PAR (A) Estimate the volume by dividing R into 4 equal squares and choosing the sample points to lie in the lower left hand corners. \{ ans_rule(40) \} $PAR (B) Estimate the volume by dividing R into 4 equal squares and choosing the    sample points to lie in the upper right hand corners.. \{ ans_rule(40) \} $PAR (C) What is the average of the two answers from (A) and (B)? \{ ans_rule(40) \} $PAR","['multivariable', 'double integral iterated integral']"
23,"['differentiation', 'minimum', 'maximum', 'extrema']"," Context()->texStrings; BEGIN_TEXT  $PAR  Find the absolute and local maximum and minimum values of \( f(x)=$a x^2, 0 < x \leq $b\). If there are multiple points in a single category, list the points separated by commas.  Enter 'N' if there are no such points.  $PAR  Absolute maxima at points \{ans_rule(30)\}  $PAR  Absolute minima at points \{ans_rule(30)\}  $PAR  Local maxima at points \{ans_rule(30)\}  $PAR  Local minima at points \{ans_rule(30)\}","['maximum', 'differentiation', 'minimum', 'extrema']"
24,"['matrix operation', 'matrix', 'algebra']", If \[ A = \{ display_matrix_mm($A)\}\]  \[ B = \{display_matrix_mm($B)\}\] \[ C = \{display_matrix_mm($C)\}\]   then decide if each of the following operations is defined (answer yes or no)  \(A + B\) \{ans_rule(5)\} \(A + C\) \{ans_rule(5)\} \(B + C\) \{ans_rule(5)\} \(AB\) \{ans_rule(5)\} \(BA\) \{ans_rule(5)\} \(AC\) \{ans_rule(5)\} \(CA\) \{ans_rule(5)\} \(BC\) \{ans_rule(5)\} \(CB\) \{ans_rule(5)\} ,['algebra']
25,"['coefficient', 'power', 'series', 'power series radius of convergence', 'radius', 'convergence']"," The function  	\( f(x) = $a x \ln(1 + x) \) is represented as a power series   	\( \displaystyle f(x) = \sum_{n=0}^\infty c_n x^n .\)  Find the FOLLOWING coefficients in the power series.   \( c_2 = \) \{ans_rule(20)\}   \( c_3 = \) \{ans_rule(20)\}   \( c_4 = \) \{ans_rule(20)\}   \( c_5 = \) \{ans_rule(20)\}   \( c_6 = \) \{ans_rule(20)\}    Find the radius of convergence \( R \) of the series.   \( R = \)  \{ans_rule(20)\}  .   END_TEXT  #@ans=(); $ans0 =  $a/1; $ans1 =  -1*$a/2; $ans2 =  $a/3; $ans3 =  -1*$a/4; $ans4 =  $a/5; $ans5 =  1;  #ANS(num_cmp(relTol=>@ans)); #ANS(ordered_num_cmp_list(@ans) ); ANS(num_cmp($ans0)); ANS(num_cmp($ans1)); ANS(num_cmp($ans2)); ANS(num_cmp($ans3)); ANS(num_cmp($ans4)); ANS(num_cmp($ans5));  &SOLUTION(EV3(<<'EOT'));  $SOL      Since \( \displaystyle \ln(1-x) = - \sum_{n=1}^\infty \frac{x^n}n \) by example ${pound}6 on p.748, we also therefore have \( \displaystyle \ln(1+x) = - \sum_{n=1}^\infty \frac{(-x)^n}n \). Thus \[ \begin{aligned} $a x \ln(1+x) &=	-$a \sum_{n=1}^\infty \frac{(-x)^n x}n	\\\\ &=	$a \sum_{n=1}^\infty \frac{(-x)^{n+1}}n	\\\\ &=	\frac{$a x^2}1 - \frac{$a x^3}2 + \frac{$a x^4}3 - \cdots \end{aligned} \] and so  \( c_0 = 0 \), \( c_1 = 0 \), \( c_2 = $a \), \( c_3 = \frac{-$a}2 = $ans1 \), \( c_4 = \frac{$a}3 = $ans2 \), and in general, \( c_n = \frac{$a(-1)^n}{n-1} \) for all \( n \geq 2 \). ","['coefficient', 'series', 'radius', 'power series', 'calculus', 'convergence']"
26,['limits'],"Let F be the function below.$PAR If you are having a hard time seeing the picture clearly, click on the picture.  It will expand to a larger picture on its own page so that you can inspect it more clearly.$PAR EOT  TEXT(image( insertGraph($graph) ));  TEXT(EV2(<<EOT));   Evaluate each of the following expressions.  $PAR Note:  Enter 'DNE' if the limit does not exist or is not defined. $PAR  a) \( \displaystyle \lim_{x \to -1^-} F(x) \) = \<ans_rule(4)\> $PAR  b) \( \displaystyle \lim_{x \to -1^+} F(x) \) = \<ans_rule(4)\> $PAR  c) \( \displaystyle \lim_{x \to -1} F(x) \) = \<ans_rule(4)\> $PAR  d) \( F(-1) \) = \<ans_rule(4)\> $PAR  e) \( \displaystyle \lim_{x \to 1^-} F(x) \) = \<ans_rule(4)\> $PAR  f) \( \displaystyle \lim_{x \to 1^+} F(x) \) = \<ans_rule(4)\> $PAR  g) \( \displaystyle \lim_{x \to 1} F(x) \) = \<ans_rule(4)\> $PAR  h) \( \displaystyle \lim_{x \to 3} F(x) \) = \<ans_rule(4)\> $PAR  i) \( F(3) \) = \<ans_rule(4)\> $PAR ","['product', 'differentiation', 'quotient', 'limit']"
27,"['multivariable', 'partial derivative', 'partial derivative function']",  Find the partial derivatives of the function \[     w = \sqrt{$a r^2 + $b s^2 + $c t^2} \]  \(\frac{\partial w}{\partial r} = \) \{ans_rule(60)\}  \(\frac{\partial w}{\partial s} = \) \{ans_rule(60)\}  \(\frac{\partial w}{\partial t} = \) \{ans_rule(60)\}  $PAR,"['derivatives', 'multivariable', 'chain rule', 'calculus']"
28,"['differentiation', 'product', 'quotient']"," (a) Find the differential \(\text{dy}\) of \(\displaystyle y= \frac{1}{x+1} \). $PAR (b) Evaluate \(\text{dy}\) for \(x=1\), \(\text{dx}=-.04\).  $PAR  (a) \(\text{dy} =\) \{ans_rule(30)\}\(\text{dx}\)  (b) \(\text{dy} =\) \{ans_rule(20)\} ","['logarithm', 'product', 'differentiation']"
29,"['integration', 'substitution']"," $PAR Evaluate the indefinite integral \[\int {$a e^{\cos(t)} \sin(t)}\, dt\]  $PAR Note: Any arbitrary constants used must be an upper-case ""C"".  $PAR \{ans_rule(30)\} ","['substitution', 'integration']"
30,"['range', 'functions', 'inverse', 'composite functions', 'domain']","\{ ColumnTable( ""Use the graph of \( y = f(x) \) in the figure to fill in the missing values. "".$SPACE.AnswerFormatHelp(""numbers""). . . ""(a) \( f(0) = \) "".ans_rule(10). . . ""(b) \( f( \) "".ans_rule(10)."" \( ) = 0 \) "". . . ""(c) \( f^{-1}(0) = \) "".ans_rule(10). . . ""(d) \( f^{-1}( \) "".ans_rule(10)."" \( ) = 0 \) "" , $BCENTER. image(insertGraph($graph), width => 400, height => 400, tex_size => 700). . ""(Click to enlarge)"". $ECENTER , indent=>""0"", separation=>""30"", valign=>""TOP"" ); \} END_TEXT  ANS(Real(""$y0"")->cmp() ); ANS(Real(""$x0"")->cmp() ); ANS(Real(""$x0"")->cmp() ); ANS(Real(""$y0"")->cmp() );   SOLUTION(EV3(<<'END_SOLUTION')); $PAR $BBOLD  SOLUTION $EBOLD","['inverse', 'domain', 'range', 'composite functions', 'functions']"
31,"['sequence', 'algebra']",The purchase value of a web server computer is $a dollars. Its annual depreciation is $d dollars.   The value of the compter after $n years is \{ans_rule(15) \} dollars. ,"['algebra', 'sequences', 'arithmetic sequence']"
32,['algebra']," Find an equation of the horizontal line passing through the point ($a, $b).   \( y= \) \{ans_rule(30)\}         ",['algebra']
33,"['integration tables', 'integration']"," $PAR Use the substitution \(t=a+bu\) to compute the integral \[\int {\frac{u^2}{(a+bu)^2}}\, du\]  $PAR Note: Use an upper-case ""C"" for the constant of integration.  $PAR \{ans_rule(60)\} ",[]
34,['linear equations'],"Write the linear equation \( $a x + $b y = $c \)  in slope-intercept form.  Enter your answer as an equation in slope-intercept form.   \{ ans_rule(20) \} \{ AnswerFormatHelp(""equations"") \}   The slope is \( m = \) \{ ans_rule(10) \}  \{ AnswerFormatHelp(""numbers"") \}   The \( y \)-intercept is \( b = \) \{ ans_rule(10) \}  \{ AnswerFormatHelp(""numbers"") \}","['linear functions', 'lines']"
35,['algebra']," Enter here \{ ans_rule(20) \} the expression \(\frac{1}{a}+\frac{1}{b}\).  EOT  ANS(fun_cmp(""1/a+1/b"", vars=>[""a"",""b""]));  TEXT(EV2(<<EOT));  Enter here \{ ans_rule(20) \} the expression \(\frac{1}{a+b}\). ",[]
36,"['surface area', 'integration']"," $PAR Find the surface area of a torus with radii \(r\) and \(R\).  $PAR  \{ image( $pictID1, height => 245, width => 430, tex_size=>300 )  \}  $PAR Surface area = \{ans_rule(30)\} ",['integration']
37,"['stokes', 'stokes theorem']","Use Stokes' Theorem to find the circulation of  \( \vec{F} = $a y \vec{i} + $b z \vec{j} + $c x \vec{k} \)  around a circle \( C \) of radius \( $r \)  centered at \( ($d,$e,$f) \) in the plane \( z = $f \),  oriented counterclockwise when viewed from above.   Circulation = \( \displaystyle \int_C \vec{F} \cdot d\vec{r} \) =  \{ ans_rule(30) \}","['stokes theorem', 'curl']"
38,['linear programming']," \{ image(insertGraph($graph1), width=>400, height=>400) \}   $PAR  Determine which of the regions A, B, C or D, in the figure above, represents the graph  of the given system of linear inequalities:   \[ \left\lbrace $systems[$tag] \right. \]   $PAR  Region: \{ans_rule(10)\} enter A, B, C or D   Is the region bounded or unbounded? \{ans_rule(10)\} ",['linear']
39,"['differentiation', 'product', 'quotient']",Context()->normalStrings;  Use the definition of the derivative to find:   \[\displaystyle\lim_{x \to 0}\frac{\ln(1+x)}{x} \].    ANSWER:  \{ans_rule(20)\} ,[]
40,"['multivariable differential calculus', '3d graph', 'rectangular coordinates']","The graph below is called a  \{ $pop->menu() \} $PAR $BCENTER \{  Live3Ddata( $plot, image => alias($im),  size => [400,400], tex_size => 600, tex_center => 1, scale => 1.1, ); \} $ECENTER",[]
41,['calculus'],"$BBOLD Trigonometric Integrals:$EBOLD Some trigonometric integrals can be evaluated by repeated integration by parts, by using trigonometric identities or by using suitable trigonometric identities.    \(\int_0^{2\pi} \sin^2x \hbox{d} x = \) \{ans_rule(20)\}   \(\int \sin^2 x \hbox{d} x = \) \{ans_rule(20)\} \(+C\)   \(\int\frac{1}{\tan x} \hbox{d} x= \) \{ans_rule(20)\} \(+C\) ","['trigonometry', 'calculus']"
42,"['calculus', 'vector integral derivative', 'integral', 'vector', 'vector function', 'derivative', 'parametric']","     If   \( \mathbf{r}(t)= \cos($a1 t)\mathbf{i}+\sin( $a1 t)\mathbf{j}+$b2 t  \mathbf{k} \)   compute \( \mathbf{r}'(t)\)= \{ans_rule(15)\} \( \mathbf{i}+\)  \{ans_rule(15)\}\( \mathbf{j}+\) \{ans_rule(15)\} \( {\mathbf{k}}\)     and \( \int{\mathbf{r}}(t)\, dt \)= \{ans_rule(15)\} \( \mathbf{i}+\)  \{ans_rule(15)\}\( \mathbf{j}+\) \{ans_rule(15)\} \( \mathbf{k} + \mathbf{C} \)   with \( \mathbf{C} \) a constant vector.",[]
43,"['calculus', 'derivative', 'instantaneous velocity', 'rate of change']", Find the derivative of \( g(t) = $g \) at \( t=$t0 \) algebraically.   $PAR \( g'($t0) = \) \{ ans_rule(35) \} ,['derivatives']
44,"['multivariable', 'tangent plane', 'linear approximation linearization']","  Find the linearization of the function  \(f(x,y) = \sqrt{$a - $b x^2 - $c y^2}\) at the point ($x0, $y0).  \(L(x,y) = \) \{ans_rule(60)\}  Use the linear approximation to estimate the value of      \(f(\{$x0 - .1\}, \{$y0 + .1\})\) = \{ans_rule(40)\} $PAR","['linearization', 'calculus', 'tangent plane']"
45,"['sequence', 'series', 'converge', 'ratio test', 'convergence', 'diverge']","Given: \( \displaystyle A_n = \frac{$a n}{$b n + $c} \)  Determine:  (a) whether \( \displaystyle \sum_{n=1}^\infty( A_n ) \) is convergent. \{ans_rule(10)\} (b) whether \( \lbrace A_n \rbrace \)is convergent. \{ans_rule(10)\}   If convergent, enter the limit of convergence. If not, enter ""divergent"" (unquoted). ","['series', 'sequence', 'convergence']"
46,['algebra'],Evaluate the following expression:   \( $formula \) = \{ ans_rule(5) \} ,[]
47,"['tangents and areas', 'parametric equations', 'integration']"," $PAR Find \(dy/dx\) in terms of \(t\) if \[x=t e^t, \qquad y=$a t + $a e^t\]  $PAR \(dy/dx\) = \{ans_rule(45)\} ",[]
48,"['calculus', 'algebra']","Oddly, there is a function that is $BITALIC both$EITALIC even and odd.  It is \(f(x)=\) \{ ans_rule(10) \}.",['algebra']
49,"['integration', 'arc length']"," $PAR Find the length of the curve \[y = \ln(x),\quad 1 \le x \le \sqrt{3}.\]  $PAR Arc length = \{ans_rule(30)\} ",['arc length']
50,"['differentiation', 'product', 'quotient']","If \( f($x)=$a \), \( g($x)=$b \), \( f'($x)=$c \), and \( g'($x)= $d \), find the values of the following: $PAR (a) \((f+g)'($x)=\) \{ans_rule(20)\} $PAR (b) \((fg)'($x)=\) \{ans_rule(20)\} $PAR (c) \((f/g)'($x)=\) \{ans_rule(20)\} $PAR (d) \(\left(\frac{f}{f-g}\right)'($x)=\)  \{ans_rule(20)\}",[]
51,"['inverse', 'one-to-one function', 'algebra']",(a) Find the inverse function of \(f(x)=$a x-$b\).    \(f^{-1}(x)= \) \{ ans_rule(20) \}       (b) The graphs of \(f\) and \(f^{-1}\) are symmetric with respect to the line  defined by \(y=\) \{ ans_rule(10) \},"['inverse', 'product', 'algebra', 'one-to-one function']"
52,['inequalities'],Solve the compound inequality.  \[ $inequal[$slice[0]] \mbox{ and } $inequal[$slice[1]] \] Answer:  \{ ans_rule(20) \},['inequalities']
53,"['calculus', 'derivatives', 'infinity', 'limits', 'asymptote', 'limit', 'infinite']","Evaluate the limit  \[ \lim_{ x \rightarrow \infty } \frac {\sqrt{ $a1 + $b1 x^2 }  }{( $c1 + $d1 x ) }  \] Enter $BBOLD I $EBOLD for \(\infty\), $BBOLD -I $EBOLD for \(-\infty\), and $BBOLD DNE $EBOLD if the limit does not exist. $PAR Limit = \{ans_rule(15) \} ",['derivatives']
54,"['yield rates', 'financial mathematics']"," Gonzo borrows $a dollars from Kermit at an effective rate of $ip percent, and agrees to make $n equal annual payments (the first a year from now) to repay the loan.  Immediately after Gonzo makes the ${t}th payment, Kermit sells the loan to Fozzie.  If Kermit's total yield rate (on both the original loan and the sale to Fozzie) is $jp percent effective,  how much did Fozzie pay for the loan?    Answer = \{ &ans_rule(30) \} dollars.  ","['financial mathematics', 'yield rates']"
55,"['calculus', 'theory', 'integrals theory', 'area', 'integral', 'definite', 'integral summation area', 'integrals', 'definite integral']"," Evaluate the integral by interpreting it in terms of areas. In other words, draw a picture of the region the integral represents, and find the area using high school geometry.  $PAR \( \int_{0}^{$e} | $a x - $b | dx = \) \{ans_rule(20)\} ","['area', 'integration']"
56,"['definite integrals', 'areas and distances']","$PAR END_TEXT  # Make a new checkbox multiple choice $cmc = new_checkbox_multiple_choice();  # Insert some  questions and matching answers in the q/a list. $cmc -> qa ( 	""(a) Consider the integral \(\displaystyle \int_{0}^{\,\pi} {\sin(5x)}\,dx.\)  Which of the following expressions represents the integral as a limit of Riemann sums?"",         ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \frac{\pi}{n} \, \sin\left(\frac{5\pi i}{n}\right) \)"",         );  # Insert some incorrect answers $cmc -> extra(          ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \sin\left(\frac{5\pi i}{n}\right) \)"",         ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \frac{\pi}{n} \, \sin\left(\frac{\pi i}{n}\right) \)"",         ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \sin\left(\frac{\pi i}{n}\right) \)"",         ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \frac{\pi}{n} \, \sin\left(\pi+\frac{5\pi i}{n}\right) \)"",         ""\( \displaystyle \underset{n \rightarrow \infty}{\lim} \overset{n}{\underset{i=1}{\sum}}\, \sin\left(\pi+\frac{5\pi i}{n}\right) \)"",         );  # Print the text using $cmc->print_q for the questions and # $cmc->print_a to print the answers.  BEGIN_TEXT $PAR \{$cmc -> print_q \} $PAR \{$cmc -> print_a \} $PAR $PAR (b) Use a computer algebra system to evaluate the limit in the correct answer to (a), thereby obtaining the value of the integral.  $PAR Value of integral = \{ans_rule(30)\} ","['definite integrals', 'areas and distances']"
57,"['one proportion', 'statistics', 'inference']","A noted psychic was tested for ESP.  The psychic was presented with  $n[$choose] cards face down and was asked to determine if the card was one of  5 symbols: a star, cross, circle, square, or three wavy lines.  The psychic  was correct in $x[$choose] cases.  Let \(p\) represent the probability that  the psychic correctly identifies the symbol on the card in a random trial.   Assume the $n[$choose] trials can be treated as an SRS from the population of  all guesses.   To see if there is evidence that the psychic is doing better than just  guessing, we test $BCENTER \(  H_0: p = .2 \)   \(  H_a: p > .2 \) $ECENTER  $PAR (a) What is the \(z\)-statistic for this test? \(  \) \{ ans_rule(10)\}  $PAR (b) What is the P-value of the test?  \(  \) \{ ans_rule(10)\}",['probability']
58,['function graph domain range'],Match the functions with their graphs. Enter the letter of the graph below which corresponds to the function. ($BBOLD Click on image for a larger view $EBOLD) \{ $ml -> print_q \},[]
